distance from coast,water type,site,reference,d18O,dD,elevation (m),elevation (km),township and range,latitude,longitude,notes
221,rain,Traverse II,Ingraham and Taylor (1991),-12.3,-72,345,0.345,T16N/R7E/19,39.2304591,-121.2319153,
221,rain,Traverse II,Ingraham and Taylor (1991),,-76,345,0.345,T16N/R7E/19,39.2304591,-121.2319153,
225,rain,Traverse II,Ingraham and Taylor (1991),-11.3,-76,702,0.702,T16N/R8E/20,39.2337068,-121.1026972,
225,rain,Traverse II,Ingraham and Taylor (1991),-13.3,-95,702,0.702,T16N/R8E/20,39.2337068,-121.1026972,
225,rain,Traverse II,Ingraham and Taylor (1991),-11.8,-79,702,0.702,T16N/R8E/20,39.2337068,-121.1026972,
232,rain,Traverse II,Ingraham and Taylor (1991),-11.2,-75,758,0.758,T17N/R8E/25,39.3076261,-121.0297878,
232,rain,Traverse II,Ingraham and Taylor (1991),-7.1,-77,758,0.758,T17N/R8E/25,39.3076261,-121.0297878,
232,rain,Traverse II,Ingraham and Taylor (1991),-14.3,-101,758,0.758,T17N/R8E/25,39.3076261,-121.0297878,
232,rain,Traverse II,Ingraham and Taylor (1991),-12.8,-80,758,0.758,T17N/R8E/25,39.3076261,-121.0297878,
232,rain,Traverse II,Ingraham and Taylor (1991),-12.5,-76,758,0.758,T17N/R8E/25,39.3076261,-121.0297878,
,,,,,,,,,,,
254,snow,Traverse II,Ingraham and Taylor (1991),-9.6,-73,1462,1.462,T17N/R11E/30,39.3096397,-120.7836045,
268,snow,Traverse II,Ingraham and Taylor (1991),-12.1,-86,1402,1.402,T17N/R12E/30,39.3097141,-120.6708346,
272,snow,Traverse II,Ingraham and Taylor (1991),-13.2,-97,1650,1.65,T20N/R12E/15,39.5996955,-120.6141192,
280,snow,Traverse II,Ingraham and Taylor (1991),-15.2,-111,1996,1.996,T20N/R13E/11,39.6143848,-120.4835289,
294,snow,Traverse II,Ingraham and Taylor (1991),-15,-108,2482,2.482,T17N/R15E/8,39.3367556,-120.3360644,
295,snow,Traverse II,Ingraham and Taylor (1991),-14.7,-111,1932,1.932,T19N/R15E/14,39.4973431,-120.2822791,
,,,,,,,,,,,
0.4,GW,Traverse II,Ingraham and Taylor (1991),-5.4,-37,56,0.056,T18N/R17W/18,39.4231442,-123.7984971,
0.7,GW,Traverse II,Ingraham and Taylor (1991),-5.6,-40,56,0.056,T18N/R17W/18,39.4231442,-123.7984971,
9,GW,Traverse II,Ingraham and Taylor (1991),-6.2,-42,110,0.11,T16N/R16W/9,39.2606,-123.6452,
15.5,GW,Traverse II,Ingraham and Taylor (1991),-5.9,-44,98,0.098,T16N/R16W/12,39.2606,-123.5892,
30,GW,Traverse II,Ingraham and Taylor (1991),-6.7,-48,365,0.365,T18N/R15W/15,39.2462,-123.5146,
31,GW,Traverse II,Ingraham and Taylor (1991),-6.6,-45,455,0.455,T16N/R14W/15,39.2462,-123.4027,
63,GW,Traverse II,Ingraham and Taylor (1991),-7.9,-58,430,0.43,T15N/R10W/6,39.1773,-123.0151,
90,GW,Traverse II,Ingraham and Taylor (1991),-8.4,-68,794,0.794,T15N/R8W/2,39.1773,-122.7162,
107,GW,Traverse II,Ingraham and Taylor (1991),-8.5,-66,349,0.349,T15N/R5W/25,39.1213,-122.3639,
107,GW,Traverse II,Ingraham and Taylor (1991),-8.6,-65,349,0.349,T15N/R5W/25,39.1213,-122.3639,
110,GW,Traverse II,Ingraham and Taylor (1991),-8.4,-58,494,0.494,T15N/R5W/4,39.1792,-122.4195,
150,GW,Traverse II,Ingraham and Taylor (1991),-8.4,-64,14,0.014,T16N/R2W/33,39.2011,-122.0879,
200,GW,Traverse II,Ingraham and Taylor (1991),-8.4,-59,180,0.18,T16N/R5E/16,39.2444,-121.4181,
200,GW,Traverse II,Ingraham and Taylor (1991),-8.5,-59,180,0.18,T16N/R5E/16,39.2444,-121.4181,
221,GW,Traverse II,Ingraham and Taylor (1991),-9.9,-69,552,0.552,T16N/R7E/13,39.2444,-121.139,
225,GW,Traverse II,Ingraham and Taylor (1991),-9.8,-68,728,0.728,T16N/R8E/20,39.2299,-121.1018,
232,GW,Traverse II,Ingraham and Taylor (1991),-9.6,-71,792,0.792,T17N/R8E/25,39.3021,-121.0274,
249,GW,Traverse II,Ingraham and Taylor (1991),-10.5,-77,1222,1.222,T17N/R10E/22,39.3166,-120.8413,
254,GW,Traverse II,Ingraham and Taylor (1991),-10.4,-74,1400,1.4,T17N/R11E/30,39.3021,-120.7855,
261,GW,Traverse II,Ingraham and Taylor (1991),-10.7,-78,1584,1.584,T17N/R11E/22,39.3166,-120.7297,
261,GW,Traverse II,Ingraham and Taylor (1991),-11.8,-89,1163,1.163,T20N/R11E/25,39.562,-120.6925,
282,GW,Traverse II,Ingraham and Taylor (1991),-13.7,-105,2261,2.261,T20N/R14E/31,39.5554,-120.4466,
285,GW,Traverse II,Ingraham and Taylor (1991),-12.5,-94,2055,2.055,T19N/R14E/24,39.4976,-120.3532,
294,GW,Traverse II,Ingraham and Taylor (1991),-13.5,-91,2197,2.197,T17N/R15E/8,39.3388,-120.3348,
298,GW,Traverse II,Ingraham and Taylor (1991),-13.5,-103,1950,1.95,T19N/R15E/14,39.4986,-120.2792,
323,GW,Traverse II,Ingraham and Taylor (1991),-13.8,-111,1671,1.671,T19N/R18E/30,39.4828,-120.0007,
325,GW,Traverse II,Ingraham and Taylor (1991),-15.1,-115,1585,1.585,T21N/R17E/11,39.6905,-120.0458,
336,GW,Traverse II,Ingraham and Taylor (1991),-12.2,-117,1402,1.402,T18N/R20E/33,39.3813,-119.7404,
390,GW,Traverse II,Ingraham and Taylor (1991),-13.3,-122,1246,1.246,T20N/R26E/18,39.5988,-119.1077,
410,GW,Traverse II,Ingraham and Taylor (1991),-13.2,-126,1219,1.219,T16N/R29E/33,39.20805,-118.7238,location not given
,,,,,-123,1422,1.422,T29N/R36E/1,40.408,-117.883,location not given
480,GW,Traverse II,Ingraham and Taylor (1991),-15.9,-126,1035,1.035,T22N/R35E/8,39.7886,-118.0673,
485,GW,Traverse II,Ingraham and Taylor (1991),-16.3,-130,1033,1.033,T21N/R35E/10,39.7015,-118.0298,
530,GW,Traverse II,Ingraham and Taylor (1991),-16.7,-130,1883,1.883,T17N/R39E/11,39.3515,-117.5587,
585,GW,Traverse II,Ingraham and Taylor (1991),-16,-136,1707,1.707,T17N/R45.5E/11,39.328,-116.8582,location not given
640,GW,Traverse II,Ingraham and Taylor (1991),-16.3,-128,1926,1.926,T18N/R50E/28,39.4044,-116.3454,
750,GW,Traverse II,Ingraham and Taylor (1991),-16.7,-128,1828,1.828,T21N/R63E/24,39.6744,-114.7991,
755,GW,Traverse II,Ingraham and Taylor (1991),-16.2,-128,1882,1.882,T23N/R63E/6,39.8929,-114.8931,
,,,,,,,,,,,
,creek,Warner Range,Ingraham and Taylor (1989),-14,-104,1450,1.45,,41.8715,-120.1602,"elev, location not given"
,creek,Warner Range,Ingraham and Taylor (1989),-15.1,-107,1450,1.45,,41.8715,-120.1602,"elev, location not given"
,creek,Warner Range,Ingraham and Taylor (1989),-14.8,-104,1450,1.45,,41.8715,-120.1602,"elev, location not given"
,creek,Warner Range,Ingraham and Taylor (1989),-14.6,-103,1450,1.45,,41.8715,-120.1602,"elev, location not given"
,creek,Warner Range,Ingraham and Taylor (1989),-15,-105,1450,1.45,,41.8715,-120.1602,"elev, location not given"
,creek,Warner Range,Ingraham and Taylor (1989),-14.3,-104,1450,1.45,,41.8715,-120.1602,"elev, location not given"
,creek,Warner Range,Ingraham and Taylor (1989),-13.7,-105,1450,1.45,,41.8715,-120.1602,"elev, location not given"
,creek,Warner Range,Ingraham and Taylor (1989),-15,-105,1629,1.629,,41.534,-120.225,"elev, location not given"
,creek,Warner Range,Ingraham and Taylor (1989),-15,-100,1629,1.629,,41.534,-120.225,"elev, location not given"
,,,,,,,,,,,
,snow,Cedar Pass,Ingraham and Taylor (1989),-15.7,-117,2165,2.165,,41.563,-120.282,location not given
,snow,Dismal Swamp,Ingraham and Taylor (1989),-14.8,-107,2225,2.225,,41.987,-120.1746,location not given
,snow,Mount Bidwell,Ingraham and Taylor (1989),,-107,2200,2.2,,41.966,-120.1648,location not given
,snow,Hays Canyon,Ingraham and Taylor (1989),-15.4,-107,1950,1.95,,41.283,-119.935,location not given
,snow,North Star,Ingraham and Taylor (1989),-16.8,-106,2133,2.133,,41.899,-120.188,location not given
,snow,Resrvation Creek,Ingraham and Taylor (1989),-14.6,-107,1800,1.8,,,,location not given
,snow,49er Mountain,Ingraham and Taylor (1989),-16.7,-110,1830,1.83,,41.551,-119.936,location not given
,snow,Blue Lake,Ingraham and Taylor (1989),-15.8,-119,1830,1.83,,,,location not given
,snow,Eagle Peak,Ingraham and Taylor (1989),-16.3,-114,2200,2.2,,41.283,-120.2,location not given
,snow,Dismal Swamp 2,Ingraham and Taylor (1989),-16.4,-102,2225,2.225,,41.986,-120.144,location not given
,snow,Barber Creek,Ingraham and Taylor (1989),-14.4,-111,1650,1.65,,41.24,-120.1,location not given
,,,,,,,,,,,
,GW,Spring,Ingraham and Taylor (1989),-14.6,-115,,,,,,"elev, location not given"
,GW,Well,Ingraham and Taylor (1989),,-111,,,,,,"elev, location not given"
,GW,Windmill,Ingraham and Taylor (1989),-15,-113,,,,,,"elev, location not given"
sample no.,,,,,,,,,,,
1,lake,Bald Mtn. Res.,Rose et al (1996),-6.3,-69,1234,1.234,,40.87420762,-121.3795785,
2,GW,Big Spring,Rose et al (1996),-13.4,,1399,1.399,,40.64127441,-121.4625863,
3,GW,Bower's Well,Rose et al (1996),-13.8,-98,977,0.977,,40.91679597,-121.5382971,
4,creek,Burney Creek,Rose et al (1996),-12.2,,974,0.974,,40.87107417,-121.679101,
5,creek,Burney Falls,Rose et al (1996),-13,-95,853,0.853,,41.01433453,-121.6335562,
6,GW,Burney Spring,Rose et al (1996),-12.7,-89,1448,1.448,,40.7771756,-121.6109057,
7,GW,Burney Well No. 6,Rose et al (1996),-12.7,-90,975,0.975,,40.87356195,-121.6425256,
8,GW,Cassel Well No. 1,Rose et al (1996),-13.6,-99,978,0.978,,40.91890919,-121.5432441,
9,creek,Churn Creek,Rose et al (1996),-9.1,,178,0.178,,40.506,-122.323,location not given
10,GW,Cinder Flats Spr.,Rose et al (1996),-10.4,-86,1021,1.021,,40.94591093,-121.4874427,
11,GW,Clover Creek Spr.,Rose et al (1996),-12.4,,1652,1.652,,40.72370065,-121.7787404,
12,lake,Cornaz Lake,Rose et al (1996),-4.2,-63,1353,1.353,,40.79119906,-121.5298556,
13,GW,Cornaz Spring,Rose et al (1996),-10.2,-84,1390,1.39,,40.79263309,-121.5431171,
14,GW,Crumbaugh Spring,Rose et al (1996),-13.1,,2390,2.39,,40.45328892,-121.4906033,
15,lake,Crystal Lake-1,Rose et al (1996),-14,-102,910,0.91,,40.93538619,-121.5346685,
16,lake,Crystal Lake-2,Rose et al (1996),-13.9,,910,0.91,,40.93539119,-121.5341149,
17,,Doyle Ranch,Rose et al (1996),-12.4,-92,977,0.977,,40.87231271,-121.5418001,
18,GW,Dry Lake Spring,Rose et al (1996),-10.5,-79,1254,1.254,,40.80195781,-121.6863325,
19,river,Fall River (lower),Rose et al (1996),-13.3,,1007,1.007,,41.06466233,-121.4605701,
20,river,Fall River (upper),Rose et al (1996),-13.6,,1010,1.01,,41.10409298,-121.4909172,
21,GW,Garden Meadows Spr.,Rose et al (1996),-12.2,,1483,1.483,,40.73859252,-121.6779695,
22,GW,Government Well,Rose et al (1996),-11,-92,1519,1.519,,40.77932307,-121.3728436,
23,lake,Halls Flat Res.,Rose et al (1996),-14,,1737,1.737,,40.75413205,-121.2470505,
24,creek,Hat Ck at Doty Rd,Rose et al (1996),-13.3,,1006,1.006,,40.82957382,-121.4954547,
25,creek,Hat Ck (Lassen Park),Rose et al (1996),-13.5,,2035,2.035,,40.49614839,-121.4278972,
26,creek,Hat Ck (Twin Bridges),Rose et al (1996),-13.4,,1469,1.469,,40.61625463,-121.4613392,
27,creek,Hat Ck at Hwy 89,Rose et al (1996),-13.3,,975,0.975,,40.87020947,-121.5357458,
28,GW,Jelly Spring,Rose et al (1996),-13.8,,1710,1.71,,40.77870023,-121.2505192,
29,GW,Kings Creek Spr.,Rose et al (1996),-13.8,,2278,2.278,,40.46245312,-121.4793808,
30,river,Little Tule River,Rose et al (1996),-13.6,,1009,1.009,,41.11335706,-121.4686221,
31,GW,Little Valley Spr.,Rose et al (1996),-11,,735,0.735,,,,location not given
32,GW,Logging Camp Spr.,Rose et al (1996),-11.6,,1042,1.042,,,,location not given
33,creek,Lost Creek No. 2(a),Rose et al (1996),-14.3,-106,1018,1.018,,40.82703681,-121.4418023,
34,creek,Lost Creek No. 2(b),Rose et al (1996),-14.4,-103,1141,1.141,,40.76376641,-121.4229203,
35,creek,Lost Creek No. 1 (Lassen Park),Rose et al (1996),-14,,1926,1.926,,40.51904211,-121.4734635,
36,GW,Moon Springs,Rose et al (1996),-13.1,-101,1237,1.237,,40.87093933,-121.3591512,
37,GW,Norton Gulch Spr.,Rose et al (1996),-10.2,,597,0.597,,40.71,-122.06,location not given
38,GW,Paulson Well,Rose et al (1996),-13.2,-94,1108,1.108,,40.75515085,-121.4690073,
39,river,Pit River at Hwy 299-1,Rose et al (1996),-13,,840,0.84,,40.98292585,-121.5272401,
40,river,Pit River at Hwy 299-2,Rose et al (1996),-12.7,,840,0.84,,40.98335249,-121.5277866,
41,river,Pit River at Hwy 299-3,Rose et al (1996),-13,,840,0.84,,40.98335249,-121.5277866,
42,GW,Ponderosa Rd. Spr.,Rose et al (1996),-11,,841,0.841,,,,location not given
43,lake,Porcupine Reservoir,Rose et al (1996),-8.7,-80,1481,1.481,,40.76297591,-121.3670247,
44,,Radio Ast. Obs.,Rose et al (1996),-14.3,-104,1018,1.018,,40.82043745,-121.4557501,
45,creek,Ridge Lakes Creek,Rose et al (1996),-13.4,,2438,2.438,,40.45797911,-121.5447737,
46,river,Rising River-1,Rose et al (1996),-13.7,-101,975,0.975,,40.88670146,-121.5255093,
47,river,Rising River-2,Rose et al (1996),-14,-100,975,0.975,,40.90659157,-121.5213057,
48,river,Rising River-3,Rose et al (1996),-13.8,,974,0.974,,40.9004638,-121.5308173,
49,GW,Rock Spring-1,Rose et al (1996),-14.2,-104,970,0.97,,40.91961051,-121.5133408,
50,BW,Rock Spring-2,Rose et al (1996),-14.1,,970,0.97,,40.92046379,-121.5144338,
51,creek,Salmon Creek,Rose et al (1996),-9.2,,188,0.188,,,,location not given
52,creek,Salt Creek,Rose et al (1996),-9.1,,241,0.241,,,,location not given
53,GW,Sam Wolfin Spring,Rose et al (1996),-13.4,-99,957,0.957,,40.97329792,-121.4941862,
54,creek,Seaman Gulch Creek,Rose et al (1996),-9.5,,317,0.317,,,,location not given
55,GW,Stacher Butte Spring,Rose et al (1996),-12.1,,1484,1.484,,40.70661094,-121.7786908,
,,,,,,,,,,,
,rain,Black Chasm,Oster et al. (2012),-8.63,-54.3,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-7.3,-44.9,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-6.61,-40.1,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-9.55,-69.8,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-11.1,-78,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-5.39,-35.6,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-7.01,-45.7,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-11.6,-79.8,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-9.75,-69.4,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-12.8,-90.4,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-15.8,-121,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-8.19,-51.4,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-10.5,-75.8,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-9.18,-69.5,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-15.2,-107,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-10.2,-74.3,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-10.3,-70.4,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-9.64,-64.5,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-9.4,-60.6,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-10.39,-75.5,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-4.61,-28.2,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-6.16,-46.8,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-9.72,-68.2,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-8.5,-59,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-10.8,-69.4,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-10.2,-71.3,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-16.5,-122,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-16.05,-120,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-13.97,-102,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-12.5,-86.7,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-11.7,-82.1,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-11.8,-82.1,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-10.6,-72.9,676,0.676,,38.43,-120.63,
,rain,Black Chasm,Oster et al. (2012),-10.5,-74.8,676,0.676,,38.43,-120.63,
,,,,,,,,,,,
,GW,Black Chasm,Oster et al. (2012),-9.12,-62.5,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.14,-64,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-8.94,-61.1,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-8.72,-58.6,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-8.47,-58.1,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.76,-68.7,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.96,-66.9,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-8.18,-55.4,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.95,-64.2,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.65,-74.2,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.36,-73.2,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.64,-75.4,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.96,-76,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.82,-74.6,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.48,-72.6,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.55,-74,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.32,-64.2,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-8.46,-58,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-8.01,-54.7,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-8.06,-53.8,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.99,-68.1,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.6,-66.7,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.27,-66.9,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.3,-70.3,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.38,-71.4,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.26,-71.2,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.1,-69,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.86,-67.7,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.76,-67.9,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.76,-67.5,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.91,-68.2,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.98,-67.2,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.89,-68,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.63,-68.2,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.57,-64.5,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.4,-63.6,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.63,-66.9,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.44,-75.3,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.35,-74.1,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.56,-74.5,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.82,-76.4,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.91,-74.4,676,0.676,,38.43,-120.63,
